"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1899-09-01,1899,9,23.96,245.28,0.396946564885496,0,0,0,0,0
1899-10-01,1899,10,39.88,233.38,-0.641221374045802,0,0,0,0,0
1899-11-01,1899,11,27.52,253.64,0.0305343511450378,0,0,0,0,0
1899-12-01,1899,12,3.54,204.04,-1.55725190839695,-1.55725190839695,1,1,-1.55725190839695,-1.55725190839695
1900-01-01,1900,1,65.64,213.36,-1.23076923076923,-1.23076923076923,2,2,-2.78802113916618,-2.78802113916618
1900-02-01,1900,2,8.12,168.66,-2.76923076923077,-2.76923076923077,3,3,-5.55725190839695,-5.55725190839695
1900-03-01,1900,3,99.38,244.08,-0.615384615384615,0,0,0,0,0
1900-04-01,1900,4,55.7,259.9,-0.184615384615384,0,0,0,0,0
1900-05-01,1900,5,65.32,297.7,0.984615384615385,0,0,0,0,0
1900-06-01,1900,6,48.32,342.48,2.16793893129771,0,0,0,0,0
1900-07-01,1900,7,68.28,345.12,2.35114503816794,0,0,0,0,0
1900-08-01,1900,8,19.3,356.3,2.77862595419847,0,0,0,0,0
1900-09-01,1900,9,28.08,285,2.04580152671756,0,0,0,0,0
1900-10-01,1900,10,12.38,241.68,-0.213740458015267,0,0,0,0,0
1900-11-01,1900,11,19.66,196.02,-2.04580152671756,-2.04580152671756,1,1,-2.04580152671756,-2.04580152671756
1900-12-01,1900,12,16.08,163.78,-2.7175572519084,-2.7175572519084,2,2,-4.76335877862596,-4.76335877862596
1901-01-01,1901,1,26.78,122.28,-3.81538461538462,-3.81538461538462,3,3,-8.57874339401057,-8.57874339401057
1901-02-01,1901,2,1.5,104.48,-3.81538461538462,-3.81538461538462,4,4,-12.3941280093952,-12.3941280093952
1901-03-01,1901,3,82.54,158.94,-2.95384615384615,-2.95384615384615,5,5,-15.3479741632413,-15.3479741632413
1901-04-01,1901,4,70.18,216.74,-1.66153846153846,-1.66153846153846,6,6,-17.0095126247798,-17.0095126247798
1901-05-01,1901,5,12.18,209.26,-1.84615384615385,-1.84615384615385,7,7,-18.8556664709336,-18.8556664709336
1901-06-01,1901,6,21.6,214.78,-1.12977099236641,-1.12977099236641,8,8,-19.9854374633001,-19.9854374633001
1901-07-01,1901,7,21.34,209.34,-0.946564885496183,0,0,9,0,-20.9320023487962
1901-08-01,1901,8,84.44,292.28,1.98473282442748,0,0,0,0,0
1901-09-01,1901,9,18.7,228.44,-0.519083969465649,0,0,0,0,0
1901-10-01,1901,10,59.34,217.6,-1.12977099236641,-1.12977099236641,1,1,-1.12977099236641,-1.12977099236641
1901-11-01,1901,11,10.82,216.24,-1.12977099236641,-1.12977099236641,2,2,-2.25954198473282,-2.25954198473282
1901-12-01,1901,12,1.38,196.02,-1.80152671755725,-1.80152671755725,3,3,-4.06106870229008,-4.06106870229008
1902-01-01,1902,1,9.5,184.18,-2.33846153846154,-2.33846153846154,4,4,-6.39953024075161,-6.39953024075161
1902-02-01,1902,2,2.44,102.18,-3.87692307692308,-3.87692307692308,5,5,-10.2764533176747,-10.2764533176747
1902-03-01,1902,3,30.4,113.88,-3.81538461538462,-3.81538461538462,6,6,-14.0918379330593,-14.0918379330593
1902-04-01,1902,4,3.36,57.9,-4,-4,7,7,-18.0918379330593,-18.0918379330593
1902-05-01,1902,5,2.34,49.42,-4,-4,8,8,-22.0918379330593,-22.0918379330593
1902-06-01,1902,6,13.36,61.4,-4,-4,9,9,-26.0918379330593,-26.0918379330593
1902-07-01,1902,7,27.3,79.2,-4,-4,10,10,-30.0918379330593,-30.0918379330593
1902-08-01,1902,8,28.98,105.74,-3.93893129770992,-3.93893129770992,11,11,-34.0307692307692,-34.0307692307692
1902-09-01,1902,9,19.74,95.08,-3.93893129770992,-3.93893129770992,12,12,-37.9697005284792,-37.9697005284792
1902-10-01,1902,10,29.44,121.16,-3.75572519083969,-3.75572519083969,13,13,-41.7254257193188,-41.7254257193188
1902-11-01,1902,11,23.08,141.9,-3.38931297709924,-3.38931297709924,14,14,-45.1147386964181,-45.1147386964181
1902-12-01,1902,12,78.42,206.96,-1.25190839694656,-1.25190839694656,15,15,-46.3666470933646,-46.3666470933646
1903-01-01,1903,1,7.1,186.76,-2.15384615384615,-2.15384615384615,16,16,-48.5204932472108,-48.5204932472108
1903-02-01,1903,2,6.36,164.14,-3.01538461538462,-3.01538461538462,17,17,-51.5358778625954,-51.5358778625954
1903-03-01,1903,3,40.58,184.98,-2.46153846153846,-2.46153846153846,18,18,-53.9974163241339,-53.9974163241339
1903-04-01,1903,4,74.9,230.44,-1.16923076923077,-1.16923076923077,19,19,-55.1666470933646,-55.1666470933646
1903-05-01,1903,5,36.6,243.96,-0.430769230769231,0,0,20,0,-55.5974163241339
1903-06-01,1903,6,26.1,191.64,-2.29007633587786,-2.29007633587786,1,21,-2.29007633587786,-57.8874926600117
1903-07-01,1903,7,27.28,211.82,-0.824427480916031,0,0,22,0,-58.7119201409278
1903-08-01,1903,8,30.1,235.56,-0.213740458015267,0,0,23,0,-58.925660598943
1903-09-01,1903,9,74.94,269.92,1.49618320610687,0,0,0,0,0
1903-10-01,1903,10,40.72,235.74,-0.396946564885496,0,0,0,0,0
1903-11-01,1903,11,17.06,216.2,-1.19083969465649,-1.19083969465649,1,1,-1.19083969465649,-1.19083969465649
1903-12-01,1903,12,71.62,261.72,0.213740458015267,0,0,0,0,0
1904-01-01,1904,1,55.42,289.86,0.369230769230769,0,0,0,0,0
1904-02-01,1904,2,18.82,278.58,0.0615384615384613,0,0,0,0,0
1904-03-01,1904,3,26.94,230.58,-1.16923076923077,-1.16923076923077,1,1,-1.16923076923077,-1.16923076923077
1904-04-01,1904,4,13.52,203.38,-2.09230769230769,-2.09230769230769,2,2,-3.26153846153846,-3.26153846153846
1904-05-01,1904,5,29.8,216.12,-1.47692307692308,-1.47692307692308,3,3,-4.73846153846154,-4.73846153846154
1904-06-01,1904,6,13.54,158.04,-3.02290076335878,-3.02290076335878,4,4,-7.76136230182032,-7.76136230182032
1904-07-01,1904,7,97.66,200.28,-1.12977099236641,-1.12977099236641,5,5,-8.89113329418673,-8.89113329418673
1904-08-01,1904,8,20,201.46,-1.49618320610687,-1.49618320610687,6,6,-10.3873165002936,-10.3873165002936
1904-09-01,1904,9,14.66,189.18,-1.80152671755725,-1.80152671755725,7,7,-12.1888432178509,-12.1888432178509
